name;essround;edition;proddate;idno;cntry;dweight;pweight;polintr;psppsgva;psppipla;trstprl;trstplt;trstprt;vote;pbldmna;clsprty;gndr;agea;edulvlb;hinctnta;prob;stratum;psu
ESS11e01;11;10;20062024;53865;AT;96589863;33091453;2;3;4;5;4;4;1;2;1;1;52;322;9;7099752;17;412
ESS11e01;11;10;20062024;53877;AT;6670056;33091453;2;1;1;5;4;3;1;2;2;2;76;322;4;10281234;28;668
ESS11e01;11;10;20062024;53892;AT;45469967;33091453;3;2;2;3;3;3;2;2;2;2;22;322;4;15081692;83;198
ESS11e01;11;10;20062024;53922;AT;44314238;33091453;2;5;4;6;4;5;3;1;1;1;19;313;1;15475028;77;175
ESS11e01;11;10;20062024;53933;AT;54569674;33091453;3;2;2;3;3;2;1;2;2;1;51;322;6;1256676;61;99
ESS11e01;11;10;20062024;53938;AT;8567193;33091453;2;1;1;2;2;2;1;2;1;1;43;322;3;8004536;47;36
ESS11e01;11;10;20062024;53957;AT;17682428;33091453;3;2;2;5;3;2;1;2;2;2;41;322;8;38782234;60;98
ESS11e01;11;10;20062024;53971;AT;53681755;33091453;3;3;2;10;10;10;1;2;1;2;80;212;2;1277462;59;92
ESS11e01;11;10;20062024;54005;AT;15605932;33091453;3;2;2;1;0;0;1;2;2;2;52;322;8;43942523;32;724
ESS11e01;11;10;20062024;54024;AT;5403178;33091453;3;2;2;10;8;8;1;1;1;1;53;423;4;12691865;58;88
ESS11e01;11;10;20062024;54030;AT;87189186;33091453;3;3;3;6;3;4;3;2;2;1;33;322;10;78652427;109;326
ESS11e01;11;10;20062024;54035;AT;16209534;33091453;2;3;3;10;10;8;1;2;1;2;44;322;8;42306219;58;85
ESS11e01;11;10;20062024;54060;AT;65483123;33091453;4;1;1;6;0;3;1;2;1;2;56;322;4;10472379;36;819
ESS11e01;11;10;20062024;54081;AT;16681842;33091453;4;3;4;6;6;5;3;2;2;1;32;322;7;41108413;101;292
ESS11e01;11;10;20062024;54171;AT;12197962;33091453;2;3;2;7;4;4;1;2;2;2;35;720;9;5621956;69;128
ESS11e01;11;10;20062024;54172;AT;919781;33091453;2;3;3;5;3;1;1;2;2;1;69;322;5;74557314;67;119
ESS11e01;11;10;20062024;54175;AT;9408683;33091453;3;3;2;5;7;10;2;1;2;2;34;322;3;728863;70;153
ESS11e01;11;10;20062024;54185;AT;2780307;33091453;4;4;4;10;10;10;3;2;2;1;48;322;7;24665048;101;292
ESS11e01;11;10;20062024;54260;AT;12931796;33091453;2;2;2;1;0;1;1;2;1;2;69;720;7;530293;37;838
ESS11e01;11;10;20062024;54308;AT;10641344;33091453;3;2;1;2;1;0;2;2;2;2;83;212;5;6444337;85;201
ESS11e01;11;10;20062024;54342;AT;9926053;33091453;1;2;3;8;7;7;1;2;1;1;66;322;9;6908728;7;373
ESS11e01;11;10;20062024;54344;AT;4328124;33091453;3;4;4;4;3;3;2;2;1;1;71;322;3;15844372;16;404
ESS11e01;11;10;20062024;54389;AT;20973425;33091453;2;3;1;3;5;3;1;2;1;1;85;212;8;32696806;76;169
ESS11e01;11;10;20062024;54394;AT;57678473;33091453;3;2;2;6;3;5;1;2;2;2;74;322;3;11889428;50;50
ESS11e01;11;10;20062024;54439;AT;1181357;33091453;3;2;3;5;4;4;3;2;2;2;27;313;3;58048835;88;221
ESS11e01;11;10;20062024;54458;AT;1159529;33091453;2;3;3;7;5;5;1;2;1;2;60;322;7;591416;87;207
